tweet_id,bbbbbbbbbbbtweet
692398237689327616,bbbbbbbbbbb'#ProChoice #Abortion Faith and the 2016 Campaign: And in 2004, a majority of the U.S. public ... https://t.co/iMOjngwwzH #UniteBlue #Tcot'
660430372501499904,bbbbbbbbbbb"#HuffPost #Tcot 3 Things to Never Say to an Alzheimer's Caregiver: One of my recent artic... https://t.co/SW4xrF3bkv #Feminism #Uniteblue"
692432098309705728,bbbbbbbbbbb'#Salon #Tcot Venezuela doctors fume at official silence on Zika: CARACAS, Venezuela (AP) ... https://t.co/UFhNCfzKjg #Feminism #Uniteblue'
663300853479018496,bbbbbbbbbbb'@tweetbeinghuman Men work tirelessly without thinking about themselves. Celebrate #MensDay19Nov as it is your day. https://t.co/j3KytzJlCD'
660180643637260288,bbbbbbbbbbb"#Homophobia Gay priest: The Church makes the lives of gay people 'hell': In Poland, Catholics are true m... https://t.co/AQAiillAPz #LGBT"
660405525444608000,bbbbbbbbbbb'#DomesticViolence :( WomanHaven commemorates domestic violence victims by invoking their m... https://t.co/jRXnuK2WrX #UniteBlue #VAW :-('
663271094904754176,bbbbbbbbbbb'@Riteishd In my walks, every man I meet is my superior in some way, and in that I learn from him. #MensDay19Nov https://t.co/y0SrTdKjyH'
660063941326860288,bbbbbbbbbbb'#LGBT #GayNews PHOTOS: Acrobat Joe Putignano Loves To Show Off His Third Leg: Joe Putignano i... https://t.co/98vIet4dwz #UniteBlue #Tcot'
737171166230511616,bbbbbbbbbbb'I #hate  Pershing'
737398925301145602,bbbbbbbbbbb'I #hate  s1i1r1xa1rim1nts'
660273354545364992,bbbbbbbbbbb'#Lesbianism #LGBT Lesbian couple files lawsuit after they were arrested for kissing: A les... https://t.co/wz9Y7ckmIQ #UniteBlue #Lesbian'
692533734671847428,bbbbbbbbbbb"#UniteBlue #Abortion North's justice minister David Ford to appeal abortion ruling: The N... https://t.co/YyQZhSh0ll #ProChoice #Feminism"
717904442046033920,bbbbbbbbbbb'RT @Braveswyn: So Bernie is stealing more money from his gullible followers over something Hillary never said. #BernieLies #FleeTheBern #Im\xe2\x80\xa6'
737503355111542785,bbbbbbbbbbb'I #hate  observing'
663286416676274176,bbbbbbbbbbb"@ANI_news 'All Men are Brothers' said Mahatma Gandhi #MensDay19Nov https://t.co/3gdxeF5UqW"
670707973396631552,bbbbbbbbbbb'#UniteBlue #LGBT Cyprus Approves Civil Unions Bill For Gay Couples: \xe2\x80\x9cIt is a very big step ... https://t.co/Tb2f6zW9iq #Homophobia #World'
663297196054347776,bbbbbbbbbbb'@VasundharaBJP Men work tirelessly without thinking about themselves. Celebrate #MensDay19Nov as it is your day. https://t.co/SYyN06Pa4t'
737284416603492356,bbbbbbbbbbb'I #hate  surprisedupstage'
670536204060745729,bbbbbbbbbbb"#SingleWomen #Women WVU women's soccer playing for spot in College Cup tonight at Penn St... https://t.co/8vqzg1vamA #Feminism #Uniteblue"
663304166995968000,bbbbbbbbbbb"@MVenkaiahNaidu Cheers Cheers.. Lets Celebrated International Men's Day #MensDay19Nov https://t.co/ncX1PqBiQ4"
717909034834112513,bbbbbbbbbbb'Donate, phone bank do whatever u can . Time to take the fake democrat out!!!!! #imwithher'
670620429862612992,bbbbbbbbbbb"#Antisemitism #World Islamic migrants split country after Merkel's epic mistake: Life as Germ... https://t.co/62KZxgVkXE #UniteBlue #Tcot"
737427866032295936,bbbbbbbbbbb'I #hate  bro11nthyroid'
663345753515945984,bbbbbbbbbbb'@kishanreddybjp Character, manner, istyle n all things, the supreme  is simplicity - hallmark of MEN #MensDay19Nov https://t.co/eYQp9OHKq6'
670578541369491456,bbbbbbbbbbb"#Gender #UniteBlue Teenage prostitutes selling sex for the price of a sandwich as Greece's... https://t.co/VaTFxhB3pj #GenderEquality :-("
692462662215667713,bbbbbbbbbbb"#Racist #Racism MPs lash 'racist' UCT academic: Parliament \xe2\x80\x93 A University of Cape Town academ... https://t.co/TEkXsiWJeu #UniteBlue #Tcot"
717901849982951425,bbbbbbbbbbb'RT @PaladinCornelia: Mention the Sandy Hook tragedy to Bernie Sanders and he changes the subject to the Iraq War.  W.T.F.  \n\n#ImWithHer htt\xe2\x80\xa6'
659975252768755713,bbbbbbbbbbb'#WomenInScience Alumna Gift Establishes Scholarship Program for Female STEM Undergraduate... https://t.co/iKMb8piUvx #Feminism #Uniteblue'
692396274767691776,bbbbbbbbbbb'#LGBT #GayNews Trans woman arrested for hurling \xe2\x80\x98pooping\xe2\x80\x99 Chihuahua from multi-storey buildin... https://t.co/3dvCzQGPO8 #UniteBlue #Tcot'
670453483988873217,bbbbbbbbbbb"#Lesbianism #LGBT Gay Profs OK With Home's Anti-Gay Name: Lesbian Harvard Professors: Don't Er... https://t.co/usnF1vtYdZ #Lesbian #Women"
717902957254062080,bbbbbbbbbbb"RT @TalesofToday: @BernieSanders has come off the rails. He's unhinged. He's attempting to burn the house down over nothing. #ImWithHer #Fe\xe2\x80\xa6"
692444479882665985,bbbbbbbbbbb'#WomenInScience Heart Attack: The Causes, Symptoms Are Much Different In Women: We need m... https://t.co/kdVPzLjcDJ #Feminism #Uniteblue'
670582165210427392,bbbbbbbbbbb'#Gender #UniteBlue Trans people win right to change name and gender in Bolivia: Trans peop... https://t.co/J5I0bzUbYn #GenderEquality :-('
660340136249442304,bbbbbbbbbbb"#Racist #Racism Flatmates wanted - 'no Indians or Asians': The Christchurch man who listed th... https://t.co/5g7QtCDGYy #UniteBlue #Tcot"
670762025392324608,bbbbbbbbbbb'#ProChoice #Abortion Rhode Island community reacts to Colorado shooting: The motive for t... https://t.co/tZWj2ZyIcj #Feminism #Uniteblue'
737327198533623808,bbbbbbbbbbb'I #hate  exhausts'
717896409962295296,bbbbbbbbbbb'Hahahaha sad but funny as shit Bernie has lost his damn mind #imwithher  https://t.co/YBccOF2NsS'
670557326554730496,bbbbbbbbbbb"#Gender #UniteBlue Workplace sexual harassment on gender commission's radar: The Women and... https://t.co/rwxbmQUcLZ #GenderEquality :-("
